Roza2019_VCF_ID,yi_may,yi_jun,yi_jul,yi_aug,yi_sep,yi_hrv,yi_2020,yi_2021,yi_2022,yi_2023,yi_year,PC1,PC2,PC3
208_S212_R1_001,0.712628795705848,0.546562839886998,0.581906315410843,0.512954898202003,0.421032823406354,0.55370450396311,0.607400993240199,0.448947704144551,0.591092875115963,0.580141520987096,0.558218737239208,-16.9037805828274,-21.0099537483566,-5.59249021595677
210_S131_R1_001,0.67991560278843,0.519187776776674,0.536972026389267,0.480733429553451,0.36079748527201,0.514984010836606,0.570114837618577,0.416623777899445,0.53107309281305,0.552931686554142,0.521013272117391,1.37763986706181,-27.126713290844,1.81683934474368
211_S142_R1_001,0.728985078012394,0.573166918090869,0.559088173550581,0.516785282992627,0.414227839570537,0.556988902849173,0.564917480015534,0.490723895245253,0.606731179317609,0.580167164427682,0.56182736376331,-8.05873101440582,-46.2838626701036,34.739452305083
212_S154_R1_001,0.711944360199053,0.540711830858395,0.633406068937678,0.562251455128118,0.448014242938592,0.579186290506095,0.609912904639652,0.518344938478247,0.598840070456721,0.597175932923328,0.586256339190638,-14.8922875618176,-26.1312997738639,-32.5254696125326
213_S35_R1_001,0.712155566351606,0.556465825167573,0.526698158301382,0.540588358775022,0.423755183026951,0.550152312061755,0.611843608726567,0.434129616380191,0.633228135917768,0.534990736976677,0.559718500387168,14.9442802134855,9.07690631363199,2.40387469502858
214_S177_R1_001,0.7740657618649,0.651915156695026,0.570301675327796,0.537104923844802,0.446475111221711,0.594383869040574,0.6529329368575,0.47753365971038,0.67940465893483,0.582239506037903,0.603684058339551,0.118166733779494,-8.23180670767031,-4.70897655956185
215_S189_R1_001,0.682389005451989,0.5323044565294,0.537123728867382,0.479984936650886,0.390899319172662,0.523195414559147,0.57355328490053,0.426728045485932,0.572733659827422,0.531294042705658,0.531739260954009,3.0334853897156,-12.0456648207645,-0.0466546401077227
217_S201_R1_001,0.704791339045245,0.586510244059742,0.604305639612784,0.55850611209536,0.444167747973015,0.580231402451463,0.634082392172835,0.471504320455158,0.656900438161884,0.572157482084705,0.584334133400951,19.6185868156297,-18.915918480236,47.9780777865653
219_S132_R1_001,0.725611150893433,0.549618740169495,0.580462488214372,0.516654168765792,0.414767124785313,0.556004245313049,0.628182677647452,0.443715931489385,0.601926481652025,0.560219360835648,0.56424765086457,14.4621643123054,24.6002677363267,-25.1463605508615
220_S143_R1_001,0.789271479982811,0.663470124761393,0.667079733259264,0.579330251558857,0.514787065676427,0.641760893071987,0.833651771904104,0.441611261722179,0.634347174631519,0.659498052159569,0.652359982010936,10.5062566881994,-18.0580631277327,-8.76431362677154
