VCF,ST0_sep_21,ST0_aug_22,PC1,PC2,PC3
SM:532_S383_R1_001,7.738,15.871,-5.5269103,6.456413,1.3506132
SM:533_S394_R1_001,6.374,19.957,-3.43857,6.4279575,1.6440299
SM:535_S406_R1_001,5.123,16.377,-3.6211731,8.688353,3.0563953
SM:536_S324_R1_001,5.677,25.761,2.641888,2.131236,-1.9038507
SM:537_S336_R1_001,6.937,16.56,2.4176276,-2.9280498,16.044933
SM:540_S348_R1_001,5.781,16.055,-0.64669424,-2.4446826,1.1743222
SM:542_S360_R1_001,8.732,9.929,-0.57856506,0.21343268,-1.0429093
SM:543_S372_R1_001,1.876,11.688,-2.7980015,-1.2017802,-2.6201696
SM:544_S384_R1_001,5.434,11.168,1.219675,-0.35265756,-1.7102888
SM:548_S395_R1_001,14.398,25.11,-1.82658,-1.2911187,1.670536
SM:549_S407_R1_001,14.091,21.98,-2.6236796,5.4185724,1.7347119
SM:550_S325_R1_001,16.209,20.964,3.0290146,0.86766034,-1.1138662
SM:551_S337_R1_001,3.723,11.534,-4.7777486,-3.033311,-0.2198966
SM:552_S349_R1_001,7.573,20.811,3.5848186,0.87373364,-3.1971416
SM:553_S361_R1_001,6.121,13.942,-4.4894137,5.4689226,-0.6429082
SM:555_S373_R1_001,4.828,17.961,2.082465,0.9763256,-3.3404434
SM:557_S396_R1_001,14.444,31.175,-4.702373,6.2048388,0.21622306
SM:558_S408_R1_001,14.442,28.591,3.3145912,-2.0006444,10.99998
SM:559_S326_R1_001,16.09,35.844,5.0208707,-1.7359899,-0.4549107
SM:561_S338_R1_001,13.232,25.592,4.4698567,-1.2183307,3.810079
SM:564_S350_R1_001,11.315,12.429,2.2204819,3.5793736,-4.1701045
SM:565_S362_R1_001,5.067,11.292,-2.7323542,5.004863,-2.5931609
SM:570_S374_R1_001,10.732,44.555,3.7829819,-0.37998483,1.1062065
SM:572_S385_R1_001,15.779,17.394,3.7625966,0.1496928,-1.0159065
SM:575_S397_R1_001,7.508,9.53,4.569571,-3.2807872,1.9905105
SM:576_S409_R1_001,14.298,22.114,-2.7682066,2.3806164,1.4241366
SM:577_S327_R1_001,6.73,7.718,2.0252259,-0.78099483,-2.2937527
SM:581_S339_R1_001,7.844,30.34,3.0535626,2.2549217,-3.395871
SM:582_S351_R1_001,9.343,18.122,4.0182495,4.4617643,-2.517143
SM:584_S363_R1_001,12.05,89.206,2.9015195,3.2122078,-3.7096894
SM:585_S375_R1_001,6.098,13.626,4.341489,5.3469634,-3.6387506
SM:586_S386_R1_001,3.945,18.616,-5.1119876,6.4867682,-0.031153357
SM:587_S398_R1_001,10.11,10.688,3.0142138,-1.0804281,0.5283254
SM:588_S410_R1_001,9.588,16.233,1.6218216,3.1996222,-0.08441066
SM:593_S328_R1_001,5.227,9.692,3.0821602,-4.0800405,-6.6358123
SM:594_S340_R1_001,4.954,17.447,3.7343895,-4.6829867,-3.5006833
SM:596_S352_R1_001,3.764,17.018,2.2435586,1.1823876,-0.90006655
SM:598_S364_R1_001,6.911,19.188,-1.4024783,1.642715,-1.8912582
SM:599_S376_R1_001,6.772,15.048,-8.797086,4.9443026,0.23262218
SM:600_S387_R1_001,6.801,17.812,-0.52998126,-4.74165,-2.1894283
SM:601_S399_R1_001,8.534,50.957,3.6059067,1.36512,-0.7109428
SM:605_S457_R1_001,9.998,19.653,2.8766215,4.042654,-4.0274224
SM:607_S469_R1_001,8.011,12.772,-2.3427145,0.5960298,-1.7215806
SM:608_S481_R1_001,8.666,29.091,5.0322895,-3.3072824,2.8511786
SM:609_S492_R1_001,10.984,21.577,3.8728702,1.1247911,-0.62117225
