Roza2019_ID,Plant_ID,Roza2019_VCF_ID1,Roza2019_VCF_ID
42_16E-121A-2,42,SM:42_S482_R1_001,42_S482_R1_001
44_17E-129A-1,44,SM:44_S505_R1_001,44_S505_R1_001
46_17F-130A-1,46,SM:46_S483_R1_001,46_S483_R1_001
47_17F-130A-2,47,SM:47_S494_R1_001,47_S494_R1_001
48_17L-136A-,48,SM:48_S13_R1_001,48_S13_R1_001
49_ 18E-141A-1,49,SM:49_S18_R1_001,49_S18_R1_001
50_18A-137A-8,50,SM:50_S22_R1_001,50_S22_R1_001
51_18C-139A-2,51,SM:51_S26_R1_001,51_S26_R1_001
52_18C-139A-8,52,SM:52_S30_R1_001,52_S30_R1_001
53_18D-140A-1,53,SM:53_S34_R1_001,53_S34_R1_001
54_18D-140A-2,54,SM:54_S4_R1_001,54_S4_R1_001
55_18E-141A-2,55,SM:55_S9_R1_001,55_S9_R1_001
56_18F-142A-1,56,SM:56_S14_R1_001,56_S14_R1_001
57_18F-142A-2,57,SM:57_S19_R1_001,57_S19_R1_001
59_19C-149A-1,59,SM:59_S23_R1_001,59_S23_R1_001
60_19C-149A-2,60,SM:60_S27_R1_001,60_S27_R1_001
62_2-4A-1,62,SM:62_S31_R1_001,62_S31_R1_001
605_9-69B-3,605,SM:605_S457_R1_001,605_S457_R1_001
607_9-70B-4,607,SM:607_S469_R1_001,607_S469_R1_001
608_23F-186A-2,608,SM:608_S481_R1_001,608_S481_R1_001
609_29B-212-A-2,609,SM:609_S492_R1_001,609_S492_R1_001
NA,100A,SM:100A_S461_R1_001,100A_S461_R1_001
NA,101A,SM:101A_S473_R1_001,101A_S473_R1_001
NA,102A,SM:102A_S485_R1_001,102A_S485_R1_001
NA,103A,SM:103A_S496_R1_001,103A_S496_R1_001
NA,10A,SM:10A_S412_R1_001,10A_S412_R1_001
NA,112A,SM:112A_S426_R1_001,112A_S426_R1_001
NA,119A,SM:119A_S414_R1_001,119A_S414_R1_001
NA,138B,SM:138B_S438_R1_001,138B_S438_R1_001
NA,15B,SM:15B_S424_R1_001,15B_S424_R1_001
NA,1608-02,SM:1608-02_S479_R1_001,1608-02_S479_R1_001
NA,1608-05,SM:1608-05_S431_R1_001,1608-05_S431_R1_001
NA,1608-14,SM:1608-14_S455_R1_001,1608-14_S455_R1_001
NA,1608-15,SM:1608-15_S52_R1_001,1608-15_S52_R1_001
NA,1608-19,SM:1608-19_S443_R1_001,1608-19_S443_R1_001
NA,1608-23,SM:1608-23_S467_R1_001,1608-23_S467_R1_001
NA,1608-24,SM:1608-24_S478_R1_001,1608-24_S478_R1_001
NA,1613-02,SM:1613-02_S465_R1_001,1613-02_S465_R1_001
NA,1613-08,SM:1613-08_S419_R1_001,1613-08_S419_R1_001
NA,1613-10,SM:1613-10_S477_R1_001,1613-10_S477_R1_001
NA,1613-11,SM:1613-11_S489_R1_001,1613-11_S489_R1_001
NA,1613-12,SM:1613-12_S430_R1_001,1613-12_S430_R1_001
NA,1613-20,SM:1613-20_S454_R1_001,1613-20_S454_R1_001
NA,1613-21,SM:1613-21_S418_R1_001,1613-21_S418_R1_001
NA,1613-22,SM:1613-22_S466_R1_001,1613-22_S466_R1_001
NA,1613-23,SM:1613-23_S442_R1_001,1613-23_S442_R1_001
NA,1613-29_H07,SM:1613-29_H07_S501_R1_001,1613-29_H07_S501_R1_001
NA,1613-29,SM:1613-29_S500_R1_001,1613-29_S500_R1_001
NA,1622-12B,SM:1622-12B_S490_R1_001,1622-12B_S490_R1_001
NA,166B,SM:166B_S450_R1_001,166B_S450_R1_001
NA,170B,SM:170B_S462_R1_001,170B_S462_R1_001
NA,172A,SM:172A_S474_R1_001,172A_S474_R1_001
NA,180B,SM:180B_S486_R1_001,180B_S486_R1_001
NA,185B,SM:185B_S497_R1_001,185B_S497_R1_001
NA,200B,SM:200B_S415_R1_001,200B_S415_R1_001
NA,201A,SM:201A_S427_R1_001,201A_S427_R1_001
NA,202B,SM:202B_S439_R1_001,202B_S439_R1_001
NA,203A,SM:203A_S451_R1_001,203A_S451_R1_001
NA,203B,SM:203B_S463_R1_001,203B_S463_R1_001
NA,204B,SM:204B_S475_R1_001,204B_S475_R1_001
NA,207A,SM:207A_S498_R1_001,207A_S498_R1_001
NA,207B,SM:207B_S416_R1_001,207B_S416_R1_001
NA,208B,SM:208B_S428_R1_001,208B_S428_R1_001
NA,209B,SM:209B_S440_R1_001,209B_S440_R1_001
NA,210A,SM:210A_S452_R1_001,210A_S452_R1_001
NA,211A,SM:211A_S464_R1_001,211A_S464_R1_001
NA,212A,SM:212A_S476_R1_001,212A_S476_R1_001
NA,212B,SM:212B_S488_R1_001,212B_S488_R1_001
NA,221B,SM:221B_S499_R1_001,221B_S499_R1_001
NA,236B,SM:236B_S417_R1_001,236B_S417_R1_001
NA,241A,SM:241A_S429_R1_001,241A_S429_R1_001
NA,242A,SM:242A_S441_R1_001,242A_S441_R1_001
NA,'258_A07,SM:258_A07_S135_R1_001,258_A07_S135_R1_001
NA,2,SM:2_S420_R1_001,2_S420_R1_001
NA,32B,SM:32B_S436_R1_001,32B_S436_R1_001
NA,'331_E01,SM:331_E01_S271_R1_001,331_E01_S271_R1_001
NA,35,SM:35_S446_R1_001,35_S446_R1_001
NA,38,SM:38_S435_R1_001,38_S435_R1_001
NA,39,SM:39_S447_R1_001,39_S447_R1_001
NA,3,SM:3_S432_R1_001,3_S432_R1_001
NA,43,SM:43_S493_R1_001,43_S493_R1_001
NA,45,SM:45_S471_R1_001,45_S471_R1_001
NA,477969,SM:477969_S453_R1_001,477969_S453_R1_001
NA,'499_E04,SM:499_E04_S368_R1_001,499_E04_S368_R1_001
NA,'506_C10,SM:506_C10_S445_R1_001,506_C10_S445_R1_001
NA,'533_A10,SM:533_A10_S421_R1_001,533_A10_S421_R1_001
NA,'561_S_006,SM:561_S_006_S433_R1_001,561_S_006_S433_R1_001
NA,67A,SM:67A_S448_R1_001,67A_S448_R1_001
NA,68A,SM:68A_S460_R1_001,68A_S460_R1_001
NA,74B,SM:74B_S472_R1_001,74B_S472_R1_001
NA,83A,SM:83A_S484_R1_001,83A_S484_R1_001
NA,83B,SM:83B_S495_R1_001,83B_S495_R1_001
NA,84A,SM:84A_S413_R1_001,84A_S413_R1_001
NA,84B,SM:84B_S425_R1_001,84B_S425_R1_001
NA,95B,SM:95B_S437_R1_001,95B_S437_R1_001
NA,98A,SM:98A_S449_R1_001,98A_S449_R1_001
