general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-NoHit,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA,fastp
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1608.24,3131793,3131793,35.2,0.12,50.59,0.05,41,101,2000000,0,9.25,0,88.69,0,0,0.01,0.16,0.04,1.85,4640614
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,161,5194799,5194799,35.9,0.24,53.32,0.19,40,101,2000000,0,9.87,0.02,86.27,0,0,0,0.1,0.04,3.7,3444557
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.02,2678010,2678010,36,0.11,45.23,0.05,41,101,2000000,0,12.9,0,84.62,0,0,0.01,0.13,0.02,2.32,2792479
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.08,4642938,4642938,35.9,0.2,45.91,0.15,41,101,2000000,0,10.83,0,86.09,0,0,0,0.08,0.16,2.84,3391107
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.1,3447197,3447197,34.8,0.11,50.56,0.05,41,101,2000000,0,7.78,0,89.2,0,0,0,0.21,0.07,2.74,3055148
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.11,2793658,2793658,36,0.17,45.68,0.1,41,101,2000000,0,11.76,0,84.44,0,0,0,0.07,0.24,3.49,3388260
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.12,3392244,3392244,35.9,0.09,45.35,0.05,41,101,2000000,0,9.35,0,87.35,0,0,0,0.03,0.13,3.14,3052637
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.2,3056406,3056406,35.3,0.11,46.8,0.06,40,101,2000000,0,10.52,0,86.41,0,0,0,0.05,0.12,2.9,3035916
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.21,3390406,3390406,34.5,0.1,52.6,0.04,41,101,2000000,0,9.7,0,87.41,0,0,0,0.15,0.06,2.68,2785481
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.22,3053683,3053683,35.9,0.09,43.71,0.04,41,101,2000000,0,10.92,0,84.89,0,0,0,0,0.14,4.05,2498849
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.23,3036851,3036851,35.9,0.11,46.13,0.05,41,101,2000000,0,12.49,0,85.04,0,0,0,0.18,0.03,2.26,5192802
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.29,2499677,2499677,36,0.17,45.97,0.11,41,101,2000000,0,12.32,0,84.53,0,0,0,0.01,0.13,3.01,2789153
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1613.29.H07,2786279,2786279,36,0.16,42.9,0.08,41,101,2000000,0.01,15.11,0,81.78,0,0,0,0.14,0.06,2.9,4177887
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,1622.12B,2790394,2790394,36,0.14,46.03,0.08,42,101,2000000,0,10.43,0,86.79,0,0,0,0,0.11,2.67,4186329
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,163,4179344,4179344,36,0.12,53.34,0.07,40,101,2000000,0,10.27,0,87.21,0,0,0,0.11,0.05,2.36,3256870
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,164,4188342,4188342,35.8,0.32,55.28,0.29,40,101,2000000,0,8.05,0,87.59,0,0,0,0.16,0.03,4.17,4637258
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,166,4640980,4640980,34.3,0.15,58.28,0.14,40,101,2000000,0,11.3,0,85.77,0,0,0,0.03,0.16,2.74,4771777
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,166B,3258409,3258409,35.4,0.17,49.68,0.09,41,101,2000000,0,7.94,0,89,0,0,0.01,0.07,0.1,2.88,5695646
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,168,4774497,4774497,34.6,0.23,56.33,0.2,40,101,2000000,0,14.16,0,82.91,0,0,0,0.15,0.03,2.75,5935071
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,169,5697419,5697419,35.8,0.11,52.9,0.05,40,101,2000000,0,8.52,0,88.11,0,0,0,0.12,0.09,3.16,3045916
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,17,3347879,3347879,35,0.16,46.79,0.1,41,101,2000000,0,13.04,0,82.95,0,0,0,0.18,0.05,3.78,4440845
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,170,4458769,4458769,35.6,0.48,55.03,0.47,40,101,2000000,0,9.82,0,87.67,0,0,0,0.02,0.14,2.35,3478970
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,170B,3047015,3047015,36,0.17,47.29,0.09,41,101,2000000,0,10.45,0,86.61,0,0,0,0.05,0.17,2.72,4481071
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,172,4482830,4482830,35.8,0.22,54.34,0.17,40,101,2000000,0,9.08,0,87.97,0,0,0,0.09,0.02,2.84,5578067
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,172A,3480953,3480953,35.2,0.14,48.01,0.08,41,101,2000000,0,10.33,0,87.28,0,0,0,0.14,0.03,2.22,4959794
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,173,5585495,5585495,35.8,0.17,56.85,0.11,40,101,2000000,0,4.95,0,92.73,0,0,0,0,0.35,1.97,4812739
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,175,4961349,4961349,35.9,0.15,52.29,0.09,40,101,2000000,0,13.59,0,83.62,0,0,0,0.07,0.05,2.67,4546754
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,176,4814370,4814370,35.7,0.1,51.27,0.05,40,101,2000000,0,11.45,0,85.78,0,0,0,0.02,0.14,2.61,3346078
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,178,4549207,4549207,34.9,0.08,56.2,0.05,40,101,2000000,0,8.07,0,88.84,0,0,0,0.18,0.03,2.88,2989647
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,18,5331124,5331124,35.8,0.13,53.23,0.07,40,101,2000000,0.01,7.95,0,89.09,0,0,0,0.11,0.03,2.81,4760168
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,180B,2990858,2990858,36,0.21,47.73,0.13,41,101,2000000,0,9.32,0,87.36,0,0,0,0.04,0.15,3.13,4388283
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,183,4762080,4762080,35.2,0.14,54.32,0.08,40,101,2000000,0,11.41,0,85.19,0,0,0,0.15,0.05,3.2,3147588
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,184,4389749,4389749,35.7,0.07,53.09,0.03,40,101,2000000,0,10.44,0,86.07,0,0,0,0.01,0.22,3.26,3887332
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,185B,3148561,3148561,36,0.22,46.01,0.18,41,101,2000000,0,8.42,0,87.86,0,0,0,0.1,0.02,3.6,4512745
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,186,3888961,3888961,35.8,0.3,54.1,0.24,41,101,2000000,0,10.41,0,85.83,0,0,0,0.29,0.16,3.31,6168489
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,187,4513987,4513987,36,0.07,51.49,0.03,40,101,2000000,0,12.58,0,84.53,0,0,0,0.14,0.06,2.69,3739229
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,188,6171395,6171395,35.9,0.06,51.79,0.03,40,101,2000000,0,10.36,0,86.87,0,0,0,0.1,0,2.67,5329047
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,189,3740625,3740625,36,0.24,53.78,0.17,40,101,2000000,0,10.5,0,86.12,0,0,0,0.19,0.04,3.15,4372119
Yu3_Project_002,101,201111_A00223_0449_BHWCWNDRXX,19,6317864,6317864,35.9,0.1,52.71,0.05,39,101,2000000,0,9.22,0,88.56,0,0,0,0.12,0.01,2.09,4771086
